Qatar-5 b,00h28m12.94s,42d03m40.84s,12.614,2.879232,2.9088,1.117742,08/20/2021 17:39
Qatar-6 b,14h48m50.42s,22d09m09.41s,11.496,3.506195,1.5888,2.284786,08/19/2021 11:16
Qatar-7 b,23h54m03.63s,37d01m18.57s,13.134,2.032046,3.5784,1.247657,08/18/2021 22:23
Qatar-9 b,10h42m59.54s,60d57m50.83s,14.023,1.540731,1.8672,2.219396,08/19/2021 23:23
TOI-1231 b,10h26m59.34s,-52d28m04.34s,12.36,24.245586,3.24,0.494209,09/03/2021 11:24
TOI-1333 b,21h40m03.49s,48d24m24.36s,9.438,4.720219,4.6416,0.555367,08/20/2021 06:07
TOI-150.01,07h31m51.70s,-73d36m21.73s,11.39,5.857342,5.99,0.835998,08/18/2021 12:45
TOI-157 b,04h54m48.35s,-76d40m50.18s,12.725,2.084544,2.1458,1.282363,08/19/2021 10:45
TOI-169 b,01h07m06.89s,-75d11m56.20s,12.355,2.255448,1.7064,0.750756,08/19/2021 15:27
TOI-1728 b,08h02m26.80s,64d47m49.75s,12.39,3.49151,1.96,0.549963,08/20/2021 19:20
TOI-1899 b,19h57m42.44s,40d08m36.05s,14.88,29.02,4.67,3.790436,09/08/2021 23:28
TOI-564 b,08h41m10.84s,-16d02m10.78s,11.097,1.651144,1.0272,0.92814,08/19/2021 15:31
TOI-628 b,06h37m03.13s,01d46m03.18s,10.112,3.409568,3.7824,0.655901,08/21/2021 06:37
TOI-640 b,06h38m56.30s,-36d38m46.07s,10.51,5.003777,3.6048,0.764094,08/18/2021 23:35
TOI-677 b,09h36m28.65s,-50d27m47.14s,9.822,11.2366,2.5776,0.882313,08/19/2021 21:40
TOI-905 b,15h10m38.08s,-71d21m41.87s,11.08,3.739494,2.028,1.718301,08/20/2021 19:12
V1298 Tau b,04h05m19.60s,20d09m25.31s,10.115,24.13861,6.42,0.507595,08/30/2021 06:31
WASP-104 b,10h42m24.57s,07d26m06.28s,11.779,1.755414,1.7621,1.472107,08/19/2021 23:42
WASP-105 b,01h36m40.29s,-50d39m33.51s,12.049,7.87288,3.72,1.201513,08/23/2021 13:25
WASP-107 b,12h33m32.74s,-10d08m46.37s,11.592,5.721492,2.7386,2.088739,08/23/2021 00:52
WASP-113 b,14h59m29.49s,46d57m36.36s,11.761,4.542169,4.2984,0.810813,08/18/2021 23:18
WASP-114 b,21h50m39.77s,10d27m46.58s,12.685,1.548774,2.7821,0.925891,08/19/2021 17:41
WASP-118 b,01h18m12.14s,02d42m10.02s,11.009,4.046041,4.9114,0.667018,08/19/2021 13:34
WASP-12 b,06h30m32.79s,29d40m20.16s,11.569,1.09142,2.9959,1.388459,08/18/2021 23:20
WASP-120 b,04h10m27.86s,-45d53m53.68s,10.96,3.611271,3.5592,0.655229,08/21/2021 15:57
WASP-121 b,07h10m24.06s,-39d05m50.17s,10.514,1.274925,2.8872,1.72788,08/19/2021 03:28
WASP-123 b,19h17m55.01s,-32d51m36.45s,11.03,2.977641,3.0936,1.110952,08/21/2021 03:06
WASP-124 b,22h10m51.44s,-30d44m58.99s,12.724,3.37265,2.5704,1.56068,08/20/2021 06:34
WASP-129 b,11h45m11.77s,-42d03m50.25s,12.179,5.748145,2.6856,1.127591,08/20/2021 21:45
WASP-13 b,09h20m24.71s,33d52m56.38s,10.424,4.353014,4.003,2.090543,08/18/2021 20:15
WASP-130 b,13h32m25.44s,-42d28m30.98s,11.104,11.55098,3.72,0.907629,08/24/2021 07:23
